cancer_loc,sex,race,survival_time,stage,survival_percent
2,1,1,0,1,100
2,1,1,0,2,100
2,1,1,0,3,100
2,1,1,1,1,72.6
2,1,1,1,2,63.7
2,1,1,1,3,29.4
2,1,1,2,1,60.7
2,1,1,2,2,42.1
2,1,1,2,3,12.4
2,1,1,3,1,53.8
2,1,1,3,2,32.5
2,1,1,3,3,6.6
2,1,1,4,1,49.8
2,1,1,4,2,26.9
2,1,1,4,3,5
2,1,1,5,1,46.1
2,1,1,5,2,23.3
2,1,1,5,3,4.4
2,1,2,0,1,100
2,1,2,0,2,100
2,1,2,0,3,100
2,1,2,1,1,49.9
2,1,2,1,2,48.7
2,1,2,1,3,21.3
2,1,2,2,1,33.1
2,1,2,2,2,28.5
2,1,2,2,3,7.2
2,1,2,3,1,24.5
2,1,2,3,2,21.8
2,1,2,3,3,4
2,1,2,4,1,20.8
2,1,2,4,2,19.2
2,1,2,4,3,2.3
2,1,2,5,1,20.8
2,1,2,5,2,15.6
2,1,2,5,3,1.8
2,2,1,0,1,100
2,2,1,0,2,100
2,2,1,0,3,100
2,2,1,1,1,63
2,2,1,1,2,57.9
2,2,1,1,3,27.6
2,2,1,2,1,50.2
2,2,1,2,2,39.3
2,2,1,2,3,13.4
2,2,1,3,1,43.1
2,2,1,3,2,31.2
2,2,1,3,3,8.9
2,2,1,4,1,38.9
2,2,1,4,2,26.1
2,2,1,4,3,6.4
2,2,1,5,1,34.6
2,2,1,5,2,24.6
2,2,1,5,3,5.5
2,2,2,0,1,100
2,2,2,0,2,100
2,2,2,0,3,100
2,2,2,1,1,53.8
2,2,2,1,2,48.4
2,2,2,1,3,26.5
2,2,2,2,1,38.2
2,2,2,2,2,28.2
2,2,2,2,3,15.5
2,2,2,3,1,29.1
2,2,2,3,2,24.1
2,2,2,3,3,10.3
2,2,2,4,1,27.1
2,2,2,4,2,20.5
2,2,2,4,3,9.8
2,2,2,5,1,24
2,2,2,5,2,19.1
2,2,2,5,3,8.1
3,1,1,0,1,100
3,1,1,0,2,100
3,1,1,0,3,100
3,1,1,1,1,80.1
3,1,1,1,2,67.5
3,1,1,1,3,27.6
3,1,1,2,1,72.9
3,1,1,2,2,46.8
3,1,1,2,3,12.2
3,1,1,3,1,68.6
3,1,1,3,2,38.2
3,1,1,3,3,7.7
3,1,1,4,1,66.6
3,1,1,4,2,32.9
3,1,1,4,3,5.8
3,1,1,5,1,63.9
3,1,1,5,2,29.8
3,1,1,5,3,4.9
3,1,2,0,1,100
3,1,2,0,2,100
3,1,2,0,3,100
3,1,2,1,1,74.6
3,1,2,1,2,64.4
3,1,2,1,3,24.6
3,1,2,2,1,66.7
3,1,2,2,2,44.9
3,1,2,2,3,11.7
3,1,2,3,1,63
3,1,2,3,2,36.7
3,1,2,3,3,7.5
3,1,2,4,1,60.3
